username,component_id,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,primary_category,top_hashtags,account_type,account_confidence,creator_score,business_score,media_score
patilere.acil.yuva,1,profile_scrape,scrape_1776869679.json,12,61412.0,micro,93.67,8.0,"evcil_hayvan,egitim_kariyer",evcil_hayvan,"acilyuva,ömürlükyuva,satınalmaevlatedin,sahiplendirilecek,yuvaol,kopek,kedi,dog,cat,yuva",creator,0.77,1.1,0.3,0.0
pedrept,1,profile_scrape,scrape_1776937266.json,12,8990.0,nano,206.25,0.42,evcil_hayvan,evcil_hayvan,"law,afacere,juridic,drept,dreptcivil,dreptpenal,dreptcomercial,administrativ,dreptfinanaciar,dreptfiscal",creator,0.75,1.0,0.0,0.0
petgourmet.cl,1,profile_scrape,scrape_1776936742.json,12,5532.0,nano,0.0,0.08,evcil_hayvan,evcil_hayvan,"Comidapremium,petshop,Alimentomascotas,SanFelipe,Aconcagua,Doglover,Catlover,Gatos,Perros,Gatoschile",creator,0.79,1.2,0.3,0.0
pinar_denktas,1,profile_scrape,scrape_1776937104.json,12,21620.0,micro,5226.83,68.75,"anne_bebek,oyuncak_hobi",anne_bebek,"çocukgelişimi,keşfet,ebeveynlik,bilinçlianne,bilinçliebeveynlik,annelik,bebekgelişimi,annelikhalleri,modernannelik,erkençocukluk",creator,0.75,1.0,0.0,0.0
piramitegitim,1,profile_scrape,scrape_1776936742.json,12,1527.0,nano,38.58,1.58,"egitim_kariyer,evcil_hayvan",egitim_kariyer,"lgs,yks,gebze,denemesinavi,egitim,PiramitKurs,Eğitim,piramitegitim,LGS2026,LGSHazırlık",creator,0.83,1.4,0.3,0.0
pixorize,1,profile_scrape,scrape_1776869679.json,10,44897.0,micro,29966.9,13.6,"fitness_saglik,otomotiv",fitness_saglik,"medstudent,futuredoc,futurern,medicalstudents,medicalstudent,medstudentlife,medschool,medschoollife,medicalschoolmemes,medstudentslife",creator,0.83,1.4,0.0,0.0
piya_graphy,1,profile_scrape,scrape_1776872304.json,12,115.0,nano,4.17,0.5,"guzellik_kozmetik,otomotiv",guzellik_kozmetik,"SkincareRoutine,Brillare,Versed,CleanBeauty,Dove,CrumblCookies,DoveXCrumbl,BodyScrub,SkinCareEssentials,CoconutOil",creator,0.93,1.9,0.0,0.0
poncikbaby.butik,1,profile_scrape,scrape_1776937431.json,12,32.0,nano,6.25,0.17,"moda_yasam,anne_bebek,evcil_hayvan",moda_yasam,"bebekgiyim,çocukkombin,butikgiyim,indirim,zaratakım,kesfet,kızçocukgiyim,yenidoğan,bebekmodası,leopardesen",creator,0.95,2.4,1.5,0.0
potatothepup._,1,profile_scrape,scrape_1776937266.json,12,694.0,nano,24.42,1.92,"evcil_hayvan,anne_bebek",evcil_hayvan,"cute,dog,potato,the,pup,puppylife,dogsofinstagram,puppy,beach,puppylove",creator,0.85,1.5,0.0,0.0
pozitifbirblog_,1,profile_scrape,scrape_1776872304.json,12,1024.0,nano,198.92,1.58,"anne_bebek,yemek_mutfak,ev_yasam",anne_bebek,"keşfet,instagram,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,fyp,keşfett,beniöneçıkar,reklam,keşfetedüş,annebebek,keşfetteyizz",creator,0.83,1.4,0.0,0.0
